sample_id,team_01,team_02,team_03,team_04,team_05,team_06,team_07,team_08,team_09,team_10,team_11,team_12,team_13,team_14,team_15,team_16,team_17,team_18,team_19,team_20,team_21,team_22,team_23,team_24,team_25,team_26,team_27,team_28,team_29,team_30,team_31,team_32,team_33,team_34,team_35,team_36,team_37,team_38,team_39,team_40,team_41,team_42,team_43,team_44,team_45,team_46,team_47,team_48,team_49,team_50,team_51,team_52,team_53,team_54,team_55,team_56,team_57,team_58,team_59,team_60,team_61,team_62,team_63,team_64,team_65,class
AB1 AB1,0.0,0.0,0.0,0.0,0.205226,0.0,0.854838709677419,0.0,0.0,0.0930176525657399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999165,0.0,0.0,0.0,0.0,0.999491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.92125,0.3444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082709,0.0,0.999493,0.0,0.0,0.177747294307,0.0,1.0
AB1 AB10,0.183725,0.25,0.0,1.0,0.0,0.0,0.731854838709677,0.0,0.0,0.108018207111161,0.82526,0.5984,0.0,0.01462,0.0,0.0,0.0,0.85967,0.84049,0.0,0.126717,0.0,0.0,0.942105263158,0.0,0.030884,0.18540686903235,0.0,0.0,0.65087,0.873684,0.0,0.0,0.2852,0.0,0.99,0.0,0.0,0.89,0.0,0.0,1.0,0.0,0.0,0.0,0.178159552563,0.0846030457981348,1.11720691788859,0.04,0.32638,1.0,0.0,0.523236058638,0.0,0.236514697149,0.0,0.597376616934476,0.0,0.084716,0.890274314,0.030881,0.277928519838886,0.0,0.034255862236,0.0,0.0
AB1 AB11,0.044798,0.94,0.0,1.0,0.0,0.73,0.0,0.0,0.9375,0.0955352800428442,1.0,0.54455,0.0,0.02242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.963157894737,0.0,0.0,0.0377179231390433,0.065052788,0.0,0.281176,0.885526,0.0,0.0,0.0022,0.0,1.0,0.0,0.0,0.795,0.574082,0.0,0.0,0.0,0.0,0.0,0.313358624195,0.123674161991668,1.2111610417626,0.0833333333333333,0.56921,0.0,0.0,0.0,0.0,0.579686114276,0.0,0.0,0.0,0.06589,0.972568579,0.0,0.0468969380627369,0.0,0.0518833883107,0.59375,1.0
AB1 AB12,0.0,0.0,0.0,1.0,0.0,0.0,0.997983870967742,0.0,0.6425,0.100699895703944,0.985578,0.17693,0.0,0.02925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392105263158,0.0,0.041784,0.0,0.0,0.0,0.18312,0.703947,0.0,0.0,0.0806,0.0,0.0,0.0,0.0,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0215328369114,0.00552733136709481,1.12301354509882,0.0153846153846154,0.71711,0.0,0.0,0.397363749723,0.0,0.0797265254305,0.0,0.0,0.0,0.026723,0.0,0.043031,0.213561291271071,0.0,0.0693378597498,0.0,0.0
AB1 AB13,0.299923,0.332185730824326,0.0,0.0,0.0,0.0,0.934475806451613,0.0,0.0,0.076028006845435,0.06384,0.38133,0.0,0.0128,0.02504,0.0,0.353982,0.0,0.02448,0.0,0.0,0.0,0.0,0.681578947368,0.0,0.0,0.0,0.0,0.0,0.25067,0.609211,0.0,0.0,0.7598,0.0,0.0,0.0298507462686567,0.0,0.555,0.088846,0.0,1.0,0.0,0.0,0.0,0.10479104278,0.0026738332368003,1.0,0.0238095238095238,0.52553,0.0,0.0,0.73611231717,0.0,0.0855645334061,1.0,0.0,0.0,0.07599,0.0,0.0,0.152142562562564,0.0,0.0411001630127,0.0,0.0
AB1 AB14,0.0,0.0,0.0,1.0,0.0,0.82,0.648185483870968,0.0,0.54,0.13290192829971,0.11762,0.43133,0.0,0.00822,0.0,0.44723,0.0,0.88035,0.8607,0.0,0.0,0.0,0.0,0.542105263158,0.0,0.0,0.0180989026649565,0.0,0.0,0.463233333333,0.682895,0.0,0.0,0.2342,0.0,0.0,0.0,0.0,0.6,0.0,0.71922,0.0,0.0,0.0,0.0,0.063761347771,0.0963206721164893,1.0,0.0,0.036017,1.0,0.0,0.0,0.0,0.112064812017,0.0,0.755638608482374,0.0,0.073391,0.538653367,0.0,0.386961622563235,0.6049,0.020066857338,0.0,0.0
AB1 AB15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.55,0.0935989779105198,0.52846,0.22588,0.0,0.01939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365789473684,0.0,0.0,0.0,0.0,0.0,0.349443333333,0.461842,0.0,0.0,0.548,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0173889204919,0.0195603581976408,0.0,0.0256410256410256,0.050828,0.133333,0.0,0.0,0.0,0.0650910826505,0.0,0.0,0.0,0.0,0.0,0.0,0.102455074576895,0.0,0.0275041963905,0.0,0.0
AB1 AB16,0.136934,0.0,0.0,0.144,0.0,0.0,0.0504032258064516,0.0,0.5375,0.185786855251671,0.40383,0.43967,0.0,0.00017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.494736842105,0.0,0.0,0.0,0.0,0.0,0.223871111111,0.147368,0.0,0.0,0.1066,0.58860315,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0704992311853,0.00949799093115349,1.0,0.0,0.57088,0.0,0.376068376068376,0.892738691331,0.0,0.105465003358,0.0,0.0,0.153903803653361,0.0,0.29837504400000003,0.0,0.211118514701326,0.0,0.0260064192116,0.0,0.0
AB1 AB17,0.021624,0.0,0.0,1.0,0.110632,0.48,0.0,0.0,0.0,0.0869254794693918,0.965415,0.25147,0.0,0.00706,0.0,0.0,0.0,0.74433,0.72772,0.999477071165395,0.0,0.0,0.0,0.678947368421,0.0,0.0,0.0,0.0,0.0,0.270944,0.706579,0.9489748660888696,0.0,0.0536,0.0,0.0,0.0,0.0,0.805,0.0,0.0,0.0,0.0,0.999477071165395,0.9489748660888696,0.0644600432089,0.0497109296087434,1.14852834186188,0.0217391304347826,0.22342,0.0444444,0.273504273504274,0.0671427973212,0.0,0.17709141177,0.0,0.0,0.0,0.0,0.942643392,0.0,0.0816835230044039,0.0,0.0586757846177,0.0,0.0
AB1 AB18,0.0,0.299706499211042,0.0,0.0,0.0,0.0,0.493951612903226,0.0,0.0,0.0755321801880794,0.46938,0.42253,0.0,0.16447,0.0,0.0,0.268642,0.0,0.0,0.0,0.0,0.0,0.0,0.834210526316,0.0,0.0,0.0,0.0,0.643989936168682,0.36255,0.605263,0.0,0.0,0.4144,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.116363262695,0.00156954078623322,1.0,0.0204081632653061,0.93096,0.0,0.0,0.0,0.0,0.0735688845997,0.0,0.0,0.0,0.110658,0.3657418735,0.0,0.138529895580056,0.0,0.0529414378107,0.0,0.0
AB1 AB19,0.0,0.0,0.0,0.878,0.0,0.0,0.443548387096774,0.0,0.0,0.073803266051296,0.00432,0.19771,0.0,0.01199,0.04005,0.0,0.0,0.0,0.03916,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.141778666666,0.580263,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0346364478768,0.00317434302900076,0.0,0.025,0.25536,0.0222222,0.0,0.590221787703,0.0,0.0533824513148,0.0,0.0,0.0,0.032505,0.825436409,0.0,0.075722998357528,0.0,0.0294198580086,0.671875,0.0
AB1 AB2,0.102169,0.5,0.0,1.0,0.232262,0.0,0.0,0.0,0.0,0.119701346480041,0.9999987,0.72891,0.0,0.14336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957894736842,0.0,0.999786,0.190917296090447,0.093021653,0.0,0.812223333333,0.930263,0.0,0.0,0.9852,0.0,0.99,0.205223880597015,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.259671535165,0.0806723820391865,1.2637742435162,0.0,0.62523,1.0,0.0,0.100765788819,0.0,0.304601874883,0.0,0.677834234220128,0.0,0.111169,0.605056626,0.797006,0.378385232802652,0.41338,0.0292867105454,0.90625,0.0
AB1 AB20,0.0,0.4527805855,0.0,1.0,0.0,0.0,0.0665322580645161,0.0,0.9825,0.113255616979368,0.3379,0.61771,0.0,0.006,0.0,0.0,0.0,0.88397,0.86424,0.0,0.0,0.0,0.0,0.936842105263,0.0,0.0,0.132155242031257,0.07200443,0.0,0.523006666667,0.843421,0.0,0.0,0.5748,0.0,0.0,0.0,0.0,0.895,0.0,0.0,1.0,0.519743806,0.0,0.0,0.2413669239,0.169620911930065,0.0,0.0,0.36987,0.311111,0.0,0.0,0.0,0.279025005422,0.0,0.702570058788392,0.0,0.093215,0.89276808,0.0,0.368629184470722,0.0,0.0435666926205,0.0,0.0
